ID,Usuario,CUIL_Cliente,Fecha,Caso,Descripción,Estado,Prioridad,Tipo de Riesgo,Canal de Detección,Monto Sospechoso (ARS),Observaciones
81,analista3,5691177695,2022-08-20,CASO-00081,Sequi quidem quam aspernatur reiciendis.,Finalizado,Baja,Dispositivo Nuevo,Correo Electrónico,924113,Esse labore ad quam officia.
82,analista1,2401417787,2022-08-01,CASO-00082,Expedita animi quaerat soluta quasi.,En revisión,Alta,Acceso Ilegítimo,Banca Web,803488,Sed libero magnam porro.
83,analista3,81566257075,2022-08-06,CASO-00083,Dolores fugiat molestias dignissimos at eius.,Pendiente,Baja,Acceso Ilegítimo,Correo Electrónico,1148390,Dicta consequatur distinctio.
84,analista1,36107485716,2022-08-09,CASO-00084,Inventore doloribus debitis iusto quasi sit.,Pendiente,Media,Ingeniería Social,Correo Electrónico,245585,Harum laboriosam aperiam.
85,analista3,70158061090,2022-08-24,CASO-00085,Dignissimos enim veniam vitae.,En revisión,Media,Dispositivo Nuevo,Banca Web,68338,Quisquam culpa rerum.
86,analista3,81830640190,2022-08-02,CASO-00086,Accusamus inventore quam vitae quo ut.,Finalizado,Media,Acceso Ilegítimo,Banca Web,660382,Dolorem sapiente quibusdam.
87,analista1,34414787567,2022-08-21,CASO-00087,Modi occaecati harum vel qui.,En revisión,Media,Transaccional,Correo Electrónico,297735,Tenetur vero quo.
88,analista2,49682925841,2022-08-19,CASO-00088,Porro accusamus soluta.,Finalizado,Baja,Ingeniería Social,App Móvil,747852,Voluptate ad fuga.
89,analista2,3248643643,2022-08-26,CASO-00089,Enim modi accusantium.,En revisión,Baja,Ingeniería Social,Banca Web,1032955,Cumque sint velit ab.
90,analista2,8256552803,2022-08-09,CASO-00090,Dolor aliquid occaecati sunt consectetur.,Finalizado,Baja,Acceso Ilegítimo,Web Corporativa,471507,Consequuntur dolore adipisci.
91,analista3,71679107908,2022-08-06,CASO-00091,Rem placeat laborum deleniti corrupti ab.,Pendiente,Alta,Dispositivo Nuevo,App Móvil,582782,In perspiciatis libero.
92,analista1,25460735757,2022-08-23,CASO-00092,Iste ab exercitationem iste iusto.,Pendiente,Alta,Ingeniería Social,Web Corporativa,194903,Ab eius facilis consequuntur.
93,analista1,67977275722,2022-08-08,CASO-00093,Iste quis optio possimus aliquam vitae.,Pendiente,Alta,Acceso Ilegítimo,Banca Web,117197,Itaque sit odio minus.
94,analista2,44474154041,2022-08-17,CASO-00094,Aperiam culpa voluptates.,Finalizado,Alta,Dispositivo Nuevo,Banca Web,571992,Provident rerum fugiat.
95,analista2,74604283341,2022-08-23,CASO-00095,Mollitia provident inventore molestiae sunt sunt.,Pendiente,Baja,Acceso Ilegítimo,Web Corporativa,666234,Saepe neque dignissimos iure.
96,analista2,37160280884,2022-08-28,CASO-00096,Non omnis tenetur.,Finalizado,Alta,Ingeniería Social,Web Corporativa,1013362,Quam possimus voluptatibus.
97,analista3,38433266714,2022-08-03,CASO-00097,Beatae blanditiis illum pariatur.,Pendiente,Media,Ingeniería Social,Correo Electrónico,361582,Hic ut error.
98,analista2,89971519144,2022-08-10,CASO-00098,Temporibus maiores optio aperiam voluptates.,Finalizado,Baja,Transaccional,App Móvil,602063,Repellendus quaerat labore.
99,analista1,38649495853,2022-08-09,CASO-00099,Dolorem quaerat dolorem laboriosam deserunt.,En revisión,Media,Transaccional,App Móvil,1012769,Dolore quos officiis ex sit.
100,analista3,95954361495,2022-08-08,CASO-00100,Architecto sunt a quam porro quod.,Pendiente,Alta,Acceso Ilegítimo,Banca Web,377177,Quod nam tenetur dolore.
101,analista3,18631837044,2022-08-09,CASO-00101,Quo incidunt nostrum ratione animi earum.,Finalizado,Media,Transaccional,Banca Web,132719,Quae velit reiciendis nobis.
102,analista3,40866102241,2022-08-14,CASO-00102,Aperiam perferendis laudantium tenetur impedit.,Pendiente,Alta,Dispositivo Nuevo,Correo Electrónico,717902,Nostrum rerum non cumque.
103,analista2,46610969857,2022-08-24,CASO-00103,Alias aut non.,Pendiente,Media,Transaccional,Correo Electrónico,271191,Animi laboriosam magnam.
104,analista3,70108717852,2022-08-11,CASO-00104,Veritatis eos quae veniam itaque.,Finalizado,Baja,Ingeniería Social,Correo Electrónico,640559,Expedita distinctio totam.
105,analista2,54239165385,2022-08-10,CASO-00105,Nihil saepe magnam laudantium.,En revisión,Baja,Transaccional,Web Corporativa,882506,Id nemo atque quis.
106,analista1,39853608788,2022-08-17,CASO-00106,Maiores tempora impedit hic ipsum animi.,Finalizado,Alta,Ingeniería Social,App Móvil,1023184,Alias modi saepe iste.
107,analista1,15887985858,2022-08-27,CASO-00107,Optio accusantium rem nemo ut ea.,En revisión,Baja,Ingeniería Social,App Móvil,438981,Quisquam ducimus natus illum.
108,analista3,31269498282,2022-08-07,CASO-00108,Esse quis iste nihil molestiae non.,Finalizado,Media,Ingeniería Social,Web Corporativa,872954,Itaque aliquam ea tempore.
109,analista2,15730926586,2022-08-20,CASO-00109,In cumque voluptatibus.,Pendiente,Alta,Acceso Ilegítimo,Correo Electrónico,440218,Amet iure aspernatur quae.
110,analista1,34286351919,2022-08-23,CASO-00110,Asperiores voluptatem ipsum culpa.,Finalizado,Baja,Acceso Ilegítimo,Web Corporativa,106056,Illo perferendis blanditiis.
111,analista1,49339932725,2022-08-03,CASO-00111,Modi doloribus soluta.,Finalizado,Alta,Ingeniería Social,Banca Web,447428,Soluta a explicabo.
112,analista1,17976879236,2022-08-10,CASO-00112,Excepturi quasi dicta blanditiis minima minima.,En revisión,Media,Transaccional,Banca Web,429087,Placeat quod sint sequi.
113,analista3,14387020990,2022-08-12,CASO-00113,Laboriosam soluta cum.,Finalizado,Media,Ingeniería Social,App Móvil,641907,Tenetur atque dolor quis.
114,analista2,8734222590,2022-08-21,CASO-00114,Consectetur odio amet.,Pendiente,Baja,Ingeniería Social,Correo Electrónico,514721,Iusto dolorum dolore.
115,analista1,82831353516,2022-08-08,CASO-00115,Praesentium maiores voluptas laborum eos.,Pendiente,Alta,Dispositivo Nuevo,Correo Electrónico,1188608,Nihil harum voluptatum.
116,analista1,47457690797,2022-08-24,CASO-00116,Facere deleniti soluta.,Finalizado,Baja,Dispositivo Nuevo,App Móvil,808581,Adipisci iusto asperiores.
117,analista3,73038494190,2022-08-28,CASO-00117,Delectus voluptas officiis veniam.,Finalizado,Baja,Ingeniería Social,Web Corporativa,1120916,Vel temporibus quos.
118,analista2,70659152870,2022-08-10,CASO-00118,Laborum rerum repudiandae recusandae similique temporibus.,En revisión,Alta,Acceso Ilegítimo,Correo Electrónico,993992,Mollitia aliquid iste.
119,analista2,53167978586,2022-08-22,CASO-00119,Totam fuga provident.,En revisión,Media,Dispositivo Nuevo,Correo Electrónico,658876,Ipsam nisi qui.
120,analista2,32591613839,2022-08-25,CASO-00120,Praesentium a ratione provident quaerat.,Finalizado,Alta,Dispositivo Nuevo,Correo Electrónico,415855,Totam inventore fugiat odit.
121,analista2,5019533490,2022-09-22,CASO-00121,Consequatur velit enim.,En revisión,Alta,Dispositivo Nuevo,App Móvil,592079,Alias labore commodi.
122,analista3,13429166198,2022-09-19,CASO-00122,Consequatur consequuntur reprehenderit repellendus aspernatur eos.,Finalizado,Baja,Acceso Ilegítimo,Correo Electrónico,972431,Nostrum fuga magnam.
123,analista2,33003752153,2022-09-07,CASO-00123,Delectus quia necessitatibus eum saepe deserunt.,Pendiente,Alta,Transaccional,Banca Web,77444,Quia eius officia possimus.
124,analista3,11645837399,2022-09-16,CASO-00124,Vel dicta non quaerat quam magni.,Pendiente,Media,Acceso Ilegítimo,App Móvil,225129,Vel saepe voluptatum quae.
125,analista1,10364067609,2022-09-08,CASO-00125,Optio quia hic nemo aliquid veniam.,En revisión,Alta,Ingeniería Social,Correo Electrónico,635328,Facere omnis provident.
126,analista1,82508544103,2022-09-11,CASO-00126,Tenetur quisquam nemo ipsum dolores autem.,Finalizado,Baja,Dispositivo Nuevo,Web Corporativa,531789,Incidunt amet nihil.
127,analista2,48570231869,2022-09-03,CASO-00127,Aliquam sed veniam culpa alias ratione.,Pendiente,Media,Transaccional,Correo Electrónico,788586,Quae sed iste nemo quaerat.
128,analista1,43708092625,2022-09-18,CASO-00128,At voluptatem fuga quae nostrum eaque.,En revisión,Baja,Transaccional,Banca Web,1090358,Eius optio quidem quas omnis.
129,analista1,36464676901,2022-09-24,CASO-00129,Itaque optio voluptatum iure.,Finalizado,Alta,Transaccional,App Móvil,835501,Earum enim itaque.
130,analista3,10890260057,2022-09-24,CASO-00130,Culpa molestiae enim.,Finalizado,Baja,Transaccional,Banca Web,953639,Iste nisi facilis porro.
131,analista3,30647824510,2022-09-16,CASO-00131,Tempora fuga quia optio.,Pendiente,Baja,Ingeniería Social,Web Corporativa,309673,Suscipit tempore tempore.
132,analista1,40723012879,2022-09-13,CASO-00132,Deleniti dolores facilis esse cum blanditiis.,Finalizado,Media,Ingeniería Social,App Móvil,253414,Rem tempore odit.
133,analista3,95506411729,2022-09-26,CASO-00133,Quo sint consequuntur eveniet.,En revisión,Baja,Dispositivo Nuevo,Web Corporativa,1066962,Nam recusandae esse.
134,analista3,66474365975,2022-09-26,CASO-00134,Odio harum sunt autem.,Finalizado,Baja,Ingeniería Social,App Móvil,694939,Libero sed facere quo.
135,analista2,55016935739,2022-09-21,CASO-00135,Magni suscipit maiores.,En revisión,Baja,Dispositivo Nuevo,Correo Electrónico,770742,Inventore autem esse aperiam.
136,analista2,21238853068,2022-09-14,CASO-00136,Delectus repellendus ipsa.,En revisión,Media,Dispositivo Nuevo,App Móvil,439022,Eius est at officiis.
137,analista2,17079094762,2022-09-25,CASO-00137,Consectetur architecto saepe recusandae.,Pendiente,Alta,Acceso Ilegítimo,App Móvil,869821,Culpa dolorum occaecati.
138,analista3,11666043986,2022-09-26,CASO-00138,Esse perspiciatis recusandae recusandae.,Pendiente,Baja,Acceso Ilegítimo,App Móvil,1098267,Fugiat iusto et eius.
139,analista1,88569426588,2022-09-23,CASO-00139,Eligendi ut explicabo odio distinctio.,En revisión,Media,Dispositivo Nuevo,Banca Web,317552,Natus in recusandae.
140,analista2,17392993330,2022-09-05,CASO-00140,Possimus praesentium facilis.,En revisión,Media,Dispositivo Nuevo,Banca Web,286616,Et sequi voluptas ipsum.
141,analista1,32405379198,2022-09-21,CASO-00141,Fugit voluptatum ipsum earum reprehenderit facilis.,Pendiente,Alta,Ingeniería Social,Correo Electrónico,613719,Quos placeat assumenda.
142,analista1,55635455447,2022-09-01,CASO-00142,Impedit alias incidunt eius aspernatur tenetur.,Finalizado,Baja,Ingeniería Social,Banca Web,236603,Tempore ratione autem.
143,analista1,58848788998,2022-09-07,CASO-00143,Illum illum quaerat vitae deserunt.,En revisión,Media,Transaccional,Banca Web,442274,At ipsum atque earum.
144,analista1,15467024026,2022-09-19,CASO-00144,Aliquid quisquam alias magnam accusamus.,Finalizado,Alta,Ingeniería Social,Correo Electrónico,541357,Eligendi enim odio.
145,analista3,37717028424,2022-09-05,CASO-00145,Aperiam dolorem labore.,Pendiente,Baja,Transaccional,Web Corporativa,296972,Ratione quaerat modi.
146,analista2,31886164428,2022-09-18,CASO-00146,Quam architecto optio dolor placeat dolorem.,Pendiente,Baja,Transaccional,Banca Web,99627,Possimus vel nisi harum.
147,analista3,91496226944,2022-09-09,CASO-00147,Recusandae commodi fuga odio assumenda.,En revisión,Media,Transaccional,Web Corporativa,1108789,Dolores tenetur aut minus.
148,analista1,73824589976,2022-09-28,CASO-00148,Nihil adipisci maiores vitae dolore.,Pendiente,Baja,Transaccional,Correo Electrónico,57320,Eum vel excepturi molestiae.
149,analista2,58009160435,2022-09-20,CASO-00149,Esse quam perferendis totam inventore.,Finalizado,Baja,Acceso Ilegítimo,Banca Web,81056,Nam porro maxime tempora.
150,analista2,23939865742,2022-09-26,CASO-00150,Ut suscipit aliquid.,Pendiente,Media,Dispositivo Nuevo,App Móvil,431994,Asperiores optio iste quasi.
151,analista2,38444373495,2022-09-13,CASO-00151,Nemo quod incidunt amet quasi quos consequatur.,Finalizado,Alta,Transaccional,App Móvil,414897,Quasi reiciendis magni.
152,analista2,32979882732,2022-09-15,CASO-00152,Quod sit modi.,Finalizado,Media,Transaccional,App Móvil,827724,Ipsum reiciendis autem.
153,analista2,39921065638,2022-09-15,CASO-00153,Eligendi aut temporibus cum atque.,Pendiente,Alta,Transaccional,Correo Electrónico,964769,Sunt quos vel omnis.
154,analista3,47586515299,2022-09-13,CASO-00154,Molestiae asperiores omnis at veritatis.,Finalizado,Alta,Transaccional,Correo Electrónico,158331,Ratione neque quam itaque a.
155,analista3,81214151777,2022-09-10,CASO-00155,Similique eaque minima accusantium.,En revisión,Baja,Acceso Ilegítimo,Banca Web,496866,Culpa nobis asperiores quas.
156,analista2,94692760569,2022-09-17,CASO-00156,Quasi voluptas quibusdam magnam sed quibusdam.,Pendiente,Baja,Acceso Ilegítimo,Banca Web,449150,Quae officia corrupti maxime.
157,analista3,74890847273,2022-09-04,CASO-00157,Labore placeat beatae.,Finalizado,Alta,Transaccional,App Móvil,505431,Quos ab sunt optio officia.
158,analista1,53264473823,2022-10-09,CASO-00158,Culpa illo nemo ducimus ipsam.,En revisión,Media,Dispositivo Nuevo,App Móvil,512182,Dolores molestiae sit.
159,analista1,59788399881,2022-10-17,CASO-00159,Officia atque quas vero occaecati dolore.,Pendiente,Baja,Transaccional,Web Corporativa,714135,Accusamus provident autem.
160,analista3,41005293388,2022-10-03,CASO-00160,Ipsam sapiente cupiditate in.,Pendiente,Baja,Acceso Ilegítimo,App Móvil,1031615,Ducimus nesciunt in deleniti.
161,analista1,96172740233,2022-10-21,CASO-00161,Architecto unde vitae culpa repellendus.,Pendiente,Baja,Transaccional,Banca Web,583591,Voluptatum architecto nam.
162,analista2,7369055410,2022-10-28,CASO-00162,Omnis totam beatae illo sapiente.,Pendiente,Alta,Acceso Ilegítimo,App Móvil,425062,Ullam sed sed quia.
163,analista3,99910277397,2022-10-02,CASO-00163,Voluptas tempore sequi ipsum.,En revisión,Alta,Dispositivo Nuevo,Banca Web,1022911,Labore eos alias.
164,analista2,90258046030,2022-10-07,CASO-00164,Rerum soluta similique ipsum.,En revisión,Media,Transaccional,Correo Electrónico,1165412,Possimus voluptas libero.
