Usuario,Caso,CUIL,Fecha,CBU Origen,CBU Destino,Monto,Moneda
analista2,CASO-00015,73793974632,2022-06-27,ES3598867381642988868553,ES3502009305103685910221,152814.23,USD
analista2,CASO-00015,73793974632,2022-06-28,ES0295565555170396890331,ES9629631678636103980862,123396.88,ARS
analista2,CASO-00016,76483148935,2022-06-15,ES0334086258796712006730,ES5667612084855552061866,369847.53,ARS
analista2,CASO-00016,76483148935,2022-06-15,ES6305440808903182705980,ES3516761835915223561125,239377.7,USD
analista2,CASO-00016,76483148935,2022-06-14,ES1265605331636023908573,ES2664503140401933574133,84297.32,USD
analista3,CASO-00017,75463449697,2022-06-05,ES0474934033884059802674,ES5551900609667157471932,203682.75,USD
analista3,CASO-00017,75463449697,2022-06-04,ES9817667822782226322067,ES6107837600716771963047,400207.29,USD
analista3,CASO-00017,75463449697,2022-06-04,ES3769447350211414518568,ES7138294387024845015101,80490.66,USD
analista2,CASO-00018,18867945713,2022-06-16,ES1536523127385316090734,ES0797263115928106291858,441469.32,ARS
analista2,CASO-00018,18867945713,2022-06-16,ES5963422166509377476054,ES9632478138080664744891,148621.42,USD
analista2,CASO-00018,18867945713,2022-06-16,ES6766065003238311154573,ES1142492660638301851638,558726.43,ARS
analista2,CASO-00018,18867945713,2022-06-14,ES4276968459849091855550,ES8311976102698902914189,158677.14,USD
analista2,CASO-00019,48593990285,2022-06-06,ES5927948886623470350733,ES8393036526381903540848,245699.77,ARS
analista2,CASO-00020,83388737900,2022-06-17,ES4134538524121996342223,ES0202547705542084786523,387905.57,ARS
analista2,CASO-00020,83388737900,2022-06-19,ES4725422104821737682517,ES5183386059394416371046,322375.91,USD
analista2,CASO-00021,91860420653,2022-06-09,ES6792492911426996771730,ES6195433583236078273822,13372.65,ARS
analista2,CASO-00021,91860420653,2022-06-08,ES6654335069246233009832,ES9458292743161835137085,509852.06,USD
analista2,CASO-00021,91860420653,2022-06-08,ES9202949854636262833326,ES9712938331365272079325,626036.75,USD
analista1,CASO-00022,66746926297,2022-06-14,ES3679162942681226257508,ES3599664443876167037244,576657.79,USD
analista1,CASO-00022,66746926297,2022-06-15,ES5324793116543240565272,ES1141759640884332311397,132751.82,ARS
analista1,CASO-00022,66746926297,2022-06-15,ES4387523397468839405709,ES6559946442924693798363,133741.98,ARS
analista1,CASO-00022,66746926297,2022-06-14,ES0705009528218817146680,ES1077543771475447083368,904989.31,USD
analista2,CASO-00023,41642611561,2022-06-11,ES1841096954737712246424,ES8507274472436176498269,11916.47,ARS
analista2,CASO-00023,41642611561,2022-06-12,ES4804006568269418533154,ES2052212861461658049459,129792.36,USD
analista2,CASO-00024,37030388158,2022-06-17,ES9123368974939999200425,ES6542245670156252223078,289161.69,USD
analista1,CASO-00025,16674773752,2022-06-08,ES4511382451779691162639,ES9172329220997923013469,499074.86,USD
analista1,CASO-00025,16674773752,2022-06-07,ES5500290402955775842134,ES8849366610954422099701,241615.83,ARS
analista1,CASO-00025,16674773752,2022-06-06,ES9256341086335497555177,ES5195137229051360216398,940476.22,USD
analista3,CASO-00026,26025475021,2022-06-26,ES9236866017400260072364,ES5860556988911313573730,100406.94,USD
analista2,CASO-00027,97225942185,2022-06-20,ES2218132073972796528503,ES3101370720574669887778,488136.9,USD
analista2,CASO-00027,97225942185,2022-06-22,ES2970622644044821549131,ES1790592778958915480182,262433.8,ARS
analista2,CASO-00027,97225942185,2022-06-20,ES8133364145941832245592,ES7352423184097666741904,186940.35,USD
analista2,CASO-00027,97225942185,2022-06-22,ES9886285367406404491496,ES9522141783484858119689,561185.66,ARS
analista2,CASO-00028,54005056581,2022-06-05,ES4431536244586789194209,ES1338270307434418804514,26012.22,USD
analista2,CASO-00028,54005056581,2022-06-06,ES6437556443707279209096,ES4457719136212348732342,31963.92,ARS
analista2,CASO-00028,54005056581,2022-06-04,ES7601350595809717920140,ES3380074751865872936276,73855.82,USD
analista2,CASO-00029,21765310613,2022-06-12,ES0276263496676073384524,ES8518563210264252832824,152740.11,USD
analista2,CASO-00029,21765310613,2022-06-12,ES6069388863377917336060,ES1044412421489039054474,12335.73,ARS
analista3,CASO-00030,27177227926,2022-06-24,ES0520397296078553869985,ES0723369533821044945737,215967.2,USD
analista3,CASO-00030,27177227926,2022-06-22,ES1575730276799851880639,ES6863952406364749272453,280367.42,ARS
analista3,CASO-00030,27177227926,2022-06-24,ES6657536130515682657626,ES2086305787156904918408,479049.26,USD
analista3,CASO-00030,27177227926,2022-06-22,ES0578291891367331483513,ES6388316539277355686221,262161.11,USD
analista2,CASO-00031,96709669746,2022-07-25,ES6738413312767726646075,ES0655434473569855009899,336404.3,ARS
analista3,CASO-00032,37415186165,2022-07-07,ES0952540366386331296648,ES3842965345319827589382,286269.54,ARS
analista3,CASO-00032,37415186165,2022-07-07,ES9026440087055523576843,ES1736610779670846746625,504025.41,ARS
analista3,CASO-00033,69985449490,2022-07-29,ES1834680873080304236443,ES5185456072134365955696,56950.36,USD
analista3,CASO-00033,69985449490,2022-07-28,ES7012098263496045024910,ES3002088288136750087892,803228.53,ARS
analista3,CASO-00034,40438235057,2022-07-04,ES3829024252896997738359,ES3712970910275541950434,67814.46,USD
analista3,CASO-00034,40438235057,2022-07-04,ES1914893086634480588732,ES8195829370647103225065,681712.58,USD
analista3,CASO-00034,40438235057,2022-07-05,ES5732476155549288192735,ES3368881894471466009735,338322.34,USD
analista2,CASO-00035,55592353493,2022-07-20,ES4376867468244946282387,ES0509776687804217149253,288071.38,USD
analista2,CASO-00035,55592353493,2022-07-19,ES1189924165055009690545,ES6087840297002434548920,568722.56,ARS
analista2,CASO-00035,55592353493,2022-07-19,ES1088994694881797970010,ES8459496520312609470496,879367.9,ARS
analista1,CASO-00036,91366557061,2022-07-21,ES2962351502874344387442,ES1195667098657511608533,907185.12,USD
analista1,CASO-00036,91366557061,2022-07-20,ES4375657701414792428228,ES3933505889572248730085,174091.05,ARS
analista1,CASO-00036,91366557061,2022-07-21,ES5576525115176150528068,ES3784065220103512237660,576142.78,USD
analista1,CASO-00036,91366557061,2022-07-21,ES5187739195362105319369,ES5918368769846506291219,315393.79,USD
analista2,CASO-00037,47309167546,2022-07-28,ES1319864438833154763674,ES9180889749955249231575,336825.07,USD
analista2,CASO-00037,47309167546,2022-07-29,ES5579151121104988769466,ES4695210437260399470997,165754.65,ARS
analista2,CASO-00037,47309167546,2022-07-28,ES2999394919496117204969,ES4007808769791045955193,564065.63,USD
analista3,CASO-00038,31368507545,2022-07-10,ES8272242681404748625342,ES5283410518518724469102,159655.24,USD
analista3,CASO-00038,31368507545,2022-07-11,ES1446392526269244146491,ES4781245366492027233662,307559.11,ARS
analista1,CASO-00039,15172917921,2022-07-28,ES2056164433229987126182,ES8275244343985128351072,550030.23,USD
analista1,CASO-00039,15172917921,2022-07-27,ES5913986531328796400287,ES5660222276104420694147,517414.59,USD
analista2,CASO-00040,85498057799,2022-07-05,ES8877984489384597730401,ES7534252582282441237805,541996.9,USD
analista2,CASO-00040,85498057799,2022-07-04,ES5931639447716882874406,ES3346078198035866691544,535623.42,USD
analista2,CASO-00040,85498057799,2022-07-04,ES1736261074589907761633,ES0876352087027271798888,484573.16,USD
analista2,CASO-00040,85498057799,2022-07-06,ES0217925966514715941870,ES4886323805458320171981,78779.51,ARS
analista1,CASO-00041,34861696899,2022-07-11,ES9651963348789626076695,ES2707969973226683329642,160050.42,ARS
analista3,CASO-00042,40142601830,2022-07-07,ES2712414396698507751384,ES2747984076723529606710,96015.93,ARS
analista3,CASO-00042,40142601830,2022-07-07,ES6033074888972266815867,ES7703744620109175822028,48461.98,USD
analista3,CASO-00042,40142601830,2022-07-08,ES2500473520371895553961,ES8114445840345545030679,194591.87,USD
analista1,CASO-00043,79924840000,2022-07-21,ES9500087294868286442109,ES4326498252228810439126,138867.57,ARS
analista1,CASO-00043,79924840000,2022-07-19,ES2608276013956691215619,ES7238899874405565984277,130096.49,USD
analista1,CASO-00043,79924840000,2022-07-19,ES1417207626259429083722,ES1891078049920728428626,160565.44,USD
analista1,CASO-00044,11331753252,2022-07-04,ES7122833582840838543464,ES0343169716179001050897,54749.7,USD
analista3,CASO-00045,56791936783,2022-07-15,ES5770319704732384388104,ES2445750572423473811964,29178.78,USD
analista2,CASO-00046,14504279939,2022-07-28,ES9786765329480914468817,ES9702262254064998499810,129727.04,USD
analista2,CASO-00046,14504279939,2022-07-29,ES4492810634858905230124,ES4775749662154786793383,123992.27,USD
analista2,CASO-00046,14504279939,2022-07-28,ES2845471778019841858881,ES7239837874002768242576,79874.58,USD
analista1,CASO-00047,46641442130,2022-07-09,ES5305568272006521293227,ES3315508532359183811566,299130.9,USD
analista1,CASO-00047,46641442130,2022-07-09,ES4071948877941489946123,ES2925874570574882764449,691057.09,ARS
analista1,CASO-00047,46641442130,2022-07-10,ES1996557175091631831723,ES1816367693992400877139,931360.3,ARS
analista2,CASO-00048,16478361051,2022-07-09,ES7164027194098823230895,ES0669151777603663995445,741235.33,ARS
analista2,CASO-00049,99148993841,2022-07-17,ES8998196987915183022837,ES7660113570660108614148,570854.45,ARS
analista2,CASO-00049,99148993841,2022-07-18,ES1807187181702837755859,ES9299848410312244027867,235835.58,ARS
analista2,CASO-00049,99148993841,2022-07-17,ES2378396257435997325649,ES6508146659936317993093,481314.04,ARS
analista1,CASO-00050,29284439463,2022-07-04,ES8240398873459451970702,ES4901739512230364853844,61439.72,ARS
analista1,CASO-00050,29284439463,2022-07-05,ES3324611668245270511021,ES0684658725505847240685,108853.22,ARS
analista1,CASO-00050,29284439463,2022-07-04,ES2645646336335198814187,ES2200863487177145190347,168853.17,ARS
analista2,CASO-00051,00744030953,2022-07-12,ES1883710101539330567013,ES3586929695100041973213,343219.34,USD
analista2,CASO-00051,00744030953,2022-07-12,ES0789355189013572473881,ES9471830894087042955602,196218.13,USD
analista2,CASO-00051,00744030953,2022-07-13,ES7772815484759070125689,ES3084654053915569958045,289927.77,USD
analista2,CASO-00051,00744030953,2022-07-11,ES2718840181508040254674,ES9892507263834809292584,275129.02,ARS
analista2,CASO-00052,85889251959,2022-07-22,ES5199448999575845745094,ES3500125456413976807646,498950.51,ARS
analista2,CASO-00052,85889251959,2022-07-23,ES3467325903536522526130,ES8963728048810853863598,399232.4,USD
analista2,CASO-00052,85889251959,2022-07-24,ES2982118099913481804607,ES7948503258925314678956,547946.85,ARS
analista2,CASO-00053,62289428521,2022-07-12,ES1316115860398161369294,ES5183227833276006937844,17170.69,ARS
analista2,CASO-00053,62289428521,2022-07-13,ES9013450011459326905061,ES9140623021078385132529,87396.81,USD
analista2,CASO-00054,99441132569,2022-07-10,ES7286320903245828662770,ES6386246882578191045599,64932.19,USD
analista2,CASO-00054,99441132569,2022-07-08,ES4384853262242385001591,ES8030729785946912844634,107284.37,USD
analista2,CASO-00054,99441132569,2022-07-08,ES4460088250883673856459,ES2099456703575491768195,116276.09,ARS
analista1,CASO-00055,24708262497,2022-07-18,ES9442566204236755107149,ES9755437580276880088014,10412.97,USD
analista3,CASO-00056,92073607477,2022-07-10,ES0223106249610162192284,ES8703754911599944008072,196403.19,USD
analista3,CASO-00056,92073607477,2022-07-09,ES6326562232153198162244,ES0449892060739446222770,420208.08,USD
analista3,CASO-00056,92073607477,2022-07-08,ES1534486302841028669254,ES8249908354725724224718,246381.33,ARS
analista3,CASO-00056,92073607477,2022-07-08,ES8740317898193451856242,ES6250820994267423772093,373157.89,USD
analista3,CASO-00057,22527216151,2022-07-07,ES3899303017956782451849,ES9396404210120734070988,178299.1,USD
analista2,CASO-00058,43459428148,2022-07-25,ES8300488362231392640369,ES6365227302288299581586,10311.47,ARS
analista2,CASO-00058,43459428148,2022-07-26,ES8696665330319037027107,ES0542947635179769321391,586174.22,USD
analista2,CASO-00058,43459428148,2022-07-25,ES8983625269470757456141,ES4433580696762534909104,1113682.6,USD
analista2,CASO-00058,43459428148,2022-07-24,ES5413317267509741475485,ES7488430758919480636107,417560.22,ARS
analista2,CASO-00059,17187595066,2022-07-14,ES0289246886504091034180,ES0458962822599940409209,497461.74,USD
analista2,CASO-00059,17187595066,2022-07-13,ES4987357855810468864345,ES2392785467402622742690,123230.55,USD
analista2,CASO-00059,17187595066,2022-07-13,ES6613401070729571066975,ES4045993306964126365315,382782.9,ARS
analista3,CASO-00060,43490505900,2022-07-18,ES2386747265130269347692,ES4954837981408525522487,219692.64,USD
analista3,CASO-00060,43490505900,2022-07-18,ES7947959887294277381808,ES2020305512781467527583,130961.03,USD
analista1,CASO-00061,03688810235,2022-07-10,ES7471757443437341408439,ES1642497113057844832065,31327.08,USD
analista1,CASO-00062,14978451352,2022-07-06,ES1737045074312965811805,ES3746818455867592401041,508284.6,USD
analista1,CASO-00062,14978451352,2022-07-04,ES7147337962148803494051,ES3103956918946459510381,199080.26,ARS
analista3,CASO-00063,59861574097,2022-07-27,ES5477858987800007960919,ES3221624556762077611430,88627.6,USD
analista2,CASO-00064,32788558867,2022-07-05,ES5859381500866567277756,ES1342096936448418474609,589887.87,ARS
analista2,CASO-00064,32788558867,2022-07-05,ES7517760584166566842674,ES5728418492318155665596,656394.82,USD
analista2,CASO-00065,74897557948,2022-08-28,ES4938789475961145022521,ES1195162490504440996592,336688.33,USD
analista1,CASO-00066,61270912723,2022-08-03,ES7405802996323436319795,ES5913819023551721076796,500002.95,ARS
analista1,CASO-00066,61270912723,2022-08-04,ES9353223400878378894798,ES9846150542340098205097,252006.76,ARS
analista3,CASO-00067,91064782977,2022-08-03,ES3121136255437379717605,ES8096487089887945882946,178924.36,USD
analista2,CASO-00068,11001258484,2022-08-08,ES6075830325552957460539,ES6519311953436010339170,181221.99,ARS
analista2,CASO-00068,11001258484,2022-08-09,ES7910751702008563132658,ES4511297655194660569938,195365.7,USD
analista2,CASO-00068,11001258484,2022-08-10,ES8733524272916765281347,ES0811771329920886325947,473317.19,ARS
analista1,CASO-00069,88517139771,2022-08-29,ES7083611472581655259897,ES9147651752985270326905,157125.77,USD
analista1,CASO-00069,88517139771,2022-08-29,ES4036753401895770935729,ES1918968912979710272591,86001.97,ARS
analista1,CASO-00069,88517139771,2022-08-27,ES8476935140577884691092,ES3704508687085358028852,26075.03,USD
analista1,CASO-00069,88517139771,2022-08-28,ES7494788214155147597725,ES2008208790893847077957,72415.32,USD
analista1,CASO-00070,73070978031,2022-08-03,ES7243895879807403002916,ES6709891193018543132913,24585.78,USD
analista1,CASO-00070,73070978031,2022-08-03,ES6790771129616665671241,ES5903008352424729193983,44140.18,USD
analista1,CASO-00070,73070978031,2022-08-04,ES4992570718699033313114,ES8238023989166153993367,39720.78,ARS
analista3,CASO-00071,53951126502,2022-08-14,ES3656503739252021500782,ES5390479282012197002540,1020205.58,USD
analista3,CASO-00071,53951126502,2022-08-15,ES4031879634468945809434,ES5450876457891000741182,1114654.7,USD
analista3,CASO-00071,53951126502,2022-08-14,ES3471843035986448257664,ES1693606214424282169785,812437.43,ARS
analista2,CASO-00072,13999260730,2022-08-07,ES1180525758077987929238,ES1022204343069342930167,197416.06,ARS
analista2,CASO-00072,13999260730,2022-08-08,ES2769768904171486460693,ES0331335508511983851099,291725.0,ARS
analista2,CASO-00072,13999260730,2022-08-09,ES8084988598099766488471,ES2545876607344934611920,13211.04,USD
analista1,CASO-00073,42067977948,2022-08-29,ES8079500467985151088650,ES7714224785703449559994,203842.93,USD
analista1,CASO-00073,42067977948,2022-08-30,ES2815991825081103962841,ES4750976941753260271355,95244.08,ARS
analista1,CASO-00073,42067977948,2022-08-30,ES0771980525280923800488,ES2097194080245252927732,12024.7,USD
analista1,CASO-00073,42067977948,2022-08-30,ES8366218817695031636490,ES7489680279324879848392,33031.15,USD
analista2,CASO-00074,67275533542,2022-08-25,ES5827716916699296404873,ES7019004373466642635799,236154.27,ARS
analista2,CASO-00075,26377781858,2022-08-10,ES5287481448968621598540,ES8816938781710299166198,121642.71,ARS
analista2,CASO-00075,26377781858,2022-08-11,ES8495736842142625832576,ES6138279671483812029624,105248.51,ARS
analista2,CASO-00076,91566315080,2022-08-20,ES2964861741829762311180,ES2318936208002461330379,336746.99,USD
analista2,CASO-00076,91566315080,2022-08-21,ES5331250965996143787700,ES8113766283908059963242,253451.44,USD
analista2,CASO-00076,91566315080,2022-08-20,ES2131724079874727761020,ES1526523033142162819463,93550.49,ARS
analista1,CASO-00077,13485654963,2022-08-04,ES3578619934196520331168,ES1673817676199212254822,359163.24,ARS
analista1,CASO-00077,13485654963,2022-08-04,ES3300175742696220407520,ES9073196180201805339141,203843.72,ARS
analista1,CASO-00077,13485654963,2022-08-02,ES1206758927078290795588,ES4902031613265345072266,83299.09,ARS
analista1,CASO-00077,13485654963,2022-08-04,ES5506217542341451247291,ES4135701250055335734086,421387.88,USD
analista2,CASO-00078,14652067248,2022-08-25,ES5883034826936354935675,ES7738210022044734230430,58302.18,USD
analista2,CASO-00078,14652067248,2022-08-25,ES7004700540030066175432,ES2062406845815295366264,55503.87,USD
analista2,CASO-00078,14652067248,2022-08-26,ES2078483895945690022623,ES4243067072009532706115,41881.78,USD
analista2,CASO-00078,14652067248,2022-08-24,ES6288635616343866159039,ES8511665111962531403969,107208.89,USD
analista1,CASO-00079,34419125987,2022-08-20,ES8330050755339024666624,ES0627813196274471708390,887845.78,ARS
analista1,CASO-00079,34419125987,2022-08-20,ES5780571957546713924720,ES6611112753476717576990,90915.05,ARS
analista1,CASO-00079,34419125987,2022-08-21,ES9495948568486584589287,ES7178026070550272537752,572500.75,USD
analista1,CASO-00079,34419125987,2022-08-21,ES6370716816845396753215,ES1790561145103636247384,584810.99,USD
analista3,CASO-00080,87722715247,2022-08-10,ES9330744649260429004966,ES2983492118827749467273,52480.89,USD
analista3,CASO-00080,87722715247,2022-08-09,ES1071108219129491209553,ES2047650130061826712516,63234.23,USD
analista3,CASO-00080,87722715247,2022-08-10,ES6305838960918535744731,ES9003230761932042049317,67448.84,USD
analista3,CASO-00080,87722715247,2022-08-10,ES6013544357918751177505,ES3621432979596064979360,43528.97,USD
analista3,CASO-00081,05691177695,2022-08-21,ES8743100110911420494244,ES3940416715611873184937,434496.32,ARS
analista1,CASO-00082,02401417787,2022-08-01,ES1740094184623133742294,ES1286329031420652677717,732592.94,ARS
analista1,CASO-00082,02401417787,2022-08-01,ES8280812053538601373713,ES3405757430806680567129,363569.13,USD
analista3,CASO-00083,81566257075,2022-08-06,ES3977980417315466760055,ES6457466780272994717390,212028.32,USD
analista3,CASO-00083,81566257075,2022-08-06,ES5179109319235335765490,ES5425314202364907529660,131368.24,USD
analista3,CASO-00083,81566257075,2022-08-07,ES4987871970258064226299,ES2940219088399663940975,724433.6,ARS
analista1,CASO-00084,36107485716,2022-08-09,ES2352992406804687467415,ES8016832054944143241160,31130.78,ARS
analista1,CASO-00084,36107485716,2022-08-11,ES9148081485758309112715,ES6110723553935364066174,25737.04,ARS
analista3,CASO-00085,70158061090,2022-08-24,ES7511546143754529981219,ES2838781616713586719379,66820.41,USD
analista3,CASO-00085,70158061090,2022-08-25,ES8165857379947217454859,ES4398713980953085775679,21264.46,ARS
analista3,CASO-00085,70158061090,2022-08-26,ES3257714965031049942143,ES9241730771047727923402,28435.72,ARS
analista3,CASO-00085,70158061090,2022-08-24,ES9293613763234803163115,ES3054660884121214012248,61221.38,ARS
analista3,CASO-00086,81830640190,2022-08-02,ES4828356032598495872765,ES2776204437609062190106,482942.57,ARS
analista3,CASO-00086,81830640190,2022-08-04,ES5049121743682265094191,ES1452149095137504027500,402824.56,USD
analista3,CASO-00086,81830640190,2022-08-02,ES6914913702565432705759,ES2023366853015668331325,73679.26,ARS
analista3,CASO-00086,81830640190,2022-08-04,ES7953587186670434637589,ES9403370596395571085628,138235.42,USD
analista1,CASO-00087,34414787567,2022-08-23,ES4943607517172294606391,ES4075481611512111049909,295689.06,USD
analista1,CASO-00087,34414787567,2022-08-21,ES5626082047606285579571,ES5880875598229854043446,66589.57,USD
analista2,CASO-00088,49682925841,2022-08-21,ES7699639063507930076415,ES3651843895037887067459,291630.58,USD
analista2,CASO-00088,49682925841,2022-08-19,ES6534852085866650587957,ES0726705984200283162563,617471.99,USD
analista2,CASO-00088,49682925841,2022-08-20,ES3757981294518135415185,ES2418478196624214727420,329634.4,USD
analista2,CASO-00089,03248643643,2022-08-26,ES6079625460683912785048,ES8635279002046988929992,622801.47,USD
analista2,CASO-00090,08256552803,2022-08-09,ES4381351116082810694140,ES8338391437263852968153,209425.85,USD
analista2,CASO-00090,08256552803,2022-08-10,ES3258804573176221328976,ES0677147204755788379767,51974.41,ARS
analista2,CASO-00090,08256552803,2022-08-10,ES0210995978895902837126,ES2816264820785191823517,174843.7,USD
analista3,CASO-00091,71679107908,2022-08-06,ES0717339602665272864846,ES4937053138492670354487,33651.86,USD
analista3,CASO-00091,71679107908,2022-08-08,ES5873803923786181030292,ES9675059317328467094561,437487.02,USD
analista3,CASO-00091,71679107908,2022-08-06,ES8333850546311455555626,ES7024581173530433990777,303892.16,ARS
analista3,CASO-00091,71679107908,2022-08-07,ES5651974387164378485096,ES1071455377276295382660,220549.75,ARS
analista1,CASO-00092,25460735757,2022-08-23,ES4076643279360854645540,ES7146331153613396889909,66721.88,ARS
analista1,CASO-00092,25460735757,2022-08-23,ES0354325159545560203067,ES0384210530668234905853,102887.22,ARS
analista1,CASO-00092,25460735757,2022-08-24,ES9531627267880232181740,ES3147249728403859686683,80330.98,ARS
analista1,CASO-00093,67977275722,2022-08-10,ES3168354447535999502638,ES6020658535400528707957,12796.16,USD
analista2,CASO-00094,44474154041,2022-08-17,ES8156618980720552626419,ES9846594732130304247326,349477.16,USD
analista2,CASO-00095,74604283341,2022-08-23,ES9785586114365716682528,ES5116205030862074587215,580050.61,ARS
analista2,CASO-00096,37160280884,2022-08-28,ES0733657592320069373287,ES7503161131542261512907,38623.98,USD
analista3,CASO-00097,38433266714,2022-08-03,ES7536716417424035350732,ES3683981459302680101903,116457.8,USD
analista3,CASO-00097,38433266714,2022-08-05,ES2655375126689355682850,ES1269245447091665548400,198036.66,USD
analista3,CASO-00097,38433266714,2022-08-03,ES9243319025570138535984,ES5629932889242450666925,110774.97,USD
analista2,CASO-00098,89971519144,2022-08-11,ES2471814117343054255345,ES1456085918450259109298,355881.71,ARS
analista2,CASO-00098,89971519144,2022-08-12,ES2186183944909550846054,ES5306540962538209300674,130779.16,ARS
analista1,CASO-00099,38649495853,2022-08-09,ES1149037834091897140997,ES6610154468396300766766,738332.74,ARS
analista1,CASO-00099,38649495853,2022-08-10,ES2961333826825654672733,ES6171549418807477163053,536213.61,ARS
analista1,CASO-00099,38649495853,2022-08-10,ES2390747327966491508959,ES5202431255098814125946,139008.08,ARS
analista3,CASO-00100,95954361495,2022-08-08,ES7776508812824478694044,ES7888198444304342287753,44453.39,ARS
analista3,CASO-00100,95954361495,2022-08-10,ES2850550324892300656284,ES3456675257134625970191,325596.21,USD
analista3,CASO-00101,18631837044,2022-08-10,ES5373557253000051884678,ES8225823299220188994608,106740.22,ARS
analista3,CASO-00102,40866102241,2022-08-15,ES2902656908979740420446,ES7873707585437465966180,125195.32,USD
analista3,CASO-00102,40866102241,2022-08-16,ES8690072760330762867059,ES0693196414168714525722,405784.9,ARS
analista3,CASO-00102,40866102241,2022-08-16,ES0328048207690419913305,ES4107346528041645217435,52305.74,USD
analista3,CASO-00102,40866102241,2022-08-14,ES3285366140543624324592,ES6596655891749335473568,102115.13,ARS
analista2,CASO-00103,46610969857,2022-08-26,ES7630128976023400703222,ES0805906894572508304688,141721.01,USD
analista2,CASO-00103,46610969857,2022-08-26,ES5844238890167755913373,ES7050011434865821818662,37325.04,ARS
analista3,CASO-00104,70108717852,2022-08-13,ES6352280524518335015423,ES5374880784131281918976,159530.49,USD
analista3,CASO-00104,70108717852,2022-08-12,ES7828195023529073757666,ES1726559402755881939619,461874.16,USD
analista3,CASO-00104,70108717852,2022-08-11,ES5856233952207151802449,ES9658732106839457498063,257506.21,ARS
analista3,CASO-00104,70108717852,2022-08-11,ES9875994241004836385357,ES3874329855954779599430,405183.67,ARS
analista2,CASO-00105,54239165385,2022-08-10,ES7497282541630839338960,ES2653287211971680659816,545276.53,USD
analista1,CASO-00106,39853608788,2022-08-17,ES4225491055884968859522,ES9779663156232861305527,924812.12,USD
analista1,CASO-00106,39853608788,2022-08-18,ES0545415425487541982912,ES4356595822652740098416,553156.25,ARS
analista1,CASO-00106,39853608788,2022-08-19,ES2889549004139243674853,ES3446162866449877739010,917411.23,USD
