ID,Usuario,CUIL_Cliente,Fecha,Caso,Descripción,Estado,Prioridad,Tipo de Riesgo,Canal de Detección,Monto Sospechoso (ARS),Observaciones
66,analista1,99782199685,2024-02-16,CASO-00066,Libero iusto minus.,Finalizado,Alta,Acceso Ilegítimo,App Móvil,53645,Deleniti iure sequi eius et.
67,analista2,95246346063,2024-02-04,CASO-00067,Qui dicta voluptatum cum reprehenderit beatae.,Pendiente,Baja,Ingeniería Social,Web Corporativa,394843,Quos voluptatem id numquam.
68,analista1,21857547744,2024-02-16,CASO-00068,Dicta nulla vel.,En revisión,Baja,Ingeniería Social,App Móvil,110968,Et tenetur commodi.
69,analista2,29616300245,2024-02-26,CASO-00069,Commodi soluta animi ratione.,Pendiente,Media,Dispositivo Nuevo,App Móvil,273027,Velit minima illum dolorem.
70,analista3,20067767844,2024-02-11,CASO-00070,Nisi repellat architecto adipisci consequuntur non.,En revisión,Media,Dispositivo Nuevo,Web Corporativa,372717,Dolores modi totam corrupti.
71,analista2,93759695700,2024-02-24,CASO-00071,Repudiandae aliquid dicta.,Finalizado,Alta,Acceso Ilegítimo,Banca Web,134083,Ea a sit quas corrupti.
72,analista2,13301911273,2024-02-28,CASO-00072,Rerum fugit possimus.,En revisión,Media,Acceso Ilegítimo,Web Corporativa,223855,Blanditiis vitae ea.
73,analista2,20851492398,2024-02-26,CASO-00073,Ipsa placeat facilis dolor quibusdam.,Finalizado,Media,Dispositivo Nuevo,Correo Electrónico,307788,Facilis et animi sunt.
74,analista3,30426810855,2024-02-20,CASO-00074,Debitis provident libero quisquam incidunt.,Finalizado,Alta,Transaccional,Web Corporativa,368624,Sunt enim iusto magnam.
75,analista2,24280396378,2024-02-05,CASO-00075,Similique est id voluptate ducimus esse.,Finalizado,Baja,Acceso Ilegítimo,Web Corporativa,461517,Reiciendis rerum dolor ipsam.
76,analista3,69316439959,2024-03-14,CASO-00076,Soluta beatae perspiciatis magni.,Pendiente,Alta,Transaccional,App Móvil,86361,Fugit ullam explicabo quos.
77,analista3,33079155247,2024-03-17,CASO-00077,Vero voluptas molestiae.,Pendiente,Media,Acceso Ilegítimo,App Móvil,74471,Eius ipsam ullam omnis non.
78,analista1,29107834583,2024-03-07,CASO-00078,Ipsa quibusdam nemo.,Finalizado,Media,Transaccional,Web Corporativa,372436,Error dicta illo.
79,analista3,99200134671,2024-03-13,CASO-00079,Assumenda minus eligendi libero magni voluptas.,Pendiente,Media,Dispositivo Nuevo,Web Corporativa,288989,Quis earum pariatur sunt.
80,analista2,35561171661,2024-03-24,CASO-00080,Praesentium totam odit culpa facere.,Finalizado,Media,Transaccional,Web Corporativa,323042,Ducimus facere et.
81,analista2,09288838482,2024-03-20,CASO-00081,Et laboriosam praesentium impedit laboriosam.,En revisión,Media,Dispositivo Nuevo,App Móvil,159570,Quas repudiandae omnis nisi.
82,analista3,23850278068,2024-03-25,CASO-00082,Eligendi a illum nostrum.,En revisión,Media,Acceso Ilegítimo,App Móvil,298839,Ad non ratione soluta.
83,analista2,38327064419,2024-03-09,CASO-00083,Odit necessitatibus rem ipsum.,Pendiente,Media,Ingeniería Social,Correo Electrónico,142032,Error officiis earum.
84,analista3,15067277304,2024-03-27,CASO-00084,Maxime ipsum consectetur.,Pendiente,Media,Acceso Ilegítimo,App Móvil,496881,Earum libero ullam labore et.
85,analista1,35562979515,2024-03-22,CASO-00085,Dignissimos cupiditate similique enim.,Pendiente,Alta,Ingeniería Social,Web Corporativa,184250,Ea debitis facilis.
86,analista2,72257625721,2024-03-05,CASO-00086,Commodi maxime porro enim ipsa.,Finalizado,Media,Dispositivo Nuevo,Correo Electrónico,303324,Totam culpa amet quia.
87,analista3,74554563987,2024-03-11,CASO-00087,Tempore eius voluptas quasi similique maxime.,Pendiente,Media,Ingeniería Social,App Móvil,169374,Quasi molestias illum.
88,analista2,01154012749,2024-03-24,CASO-00088,Autem ipsa magnam.,Finalizado,Baja,Ingeniería Social,App Móvil,194659,In dolorem unde minima.
89,analista2,17131793830,2024-03-26,CASO-00089,Tempora minus perferendis voluptates.,Finalizado,Media,Ingeniería Social,Correo Electrónico,227818,Saepe fuga atque facilis.
90,analista3,30872633910,2024-03-12,CASO-00090,Debitis occaecati voluptatem asperiores voluptatem.,Finalizado,Alta,Transaccional,App Móvil,153714,Repudiandae eaque eius at.
91,analista2,20140017079,2024-03-18,CASO-00091,Sint recusandae corrupti cum aperiam.,Finalizado,Alta,Acceso Ilegítimo,Correo Electrónico,209952,Nulla illo atque.
92,analista3,80358767705,2024-03-16,CASO-00092,Ducimus amet dolorem voluptatibus necessitatibus.,En revisión,Alta,Dispositivo Nuevo,Web Corporativa,163291,At aut commodi.
93,analista1,41439425502,2024-03-14,CASO-00093,Provident iure culpa veniam illo odit.,Pendiente,Media,Ingeniería Social,Web Corporativa,444914,Omnis nam labore.
94,analista1,05397001549,2024-03-04,CASO-00094,Ipsa mollitia alias esse hic.,Finalizado,Alta,Dispositivo Nuevo,Web Corporativa,401504,Sunt sunt veniam voluptate.
95,analista3,85611032549,2024-03-07,CASO-00095,Recusandae quam laudantium.,En revisión,Media,Ingeniería Social,Banca Web,302594,Vero quas in saepe.
96,analista2,34891075369,2024-03-23,CASO-00096,Quo minus inventore incidunt corporis.,Pendiente,Baja,Dispositivo Nuevo,Banca Web,342360,Hic dolorum nihil et saepe.
97,analista2,68406624273,2024-03-26,CASO-00097,Assumenda impedit magnam quasi.,En revisión,Baja,Acceso Ilegítimo,Correo Electrónico,490307,Illo debitis non rerum dolor.
98,analista1,16095541805,2024-03-18,CASO-00098,Fugiat ab similique vero.,Pendiente,Media,Dispositivo Nuevo,App Móvil,285907,Accusamus aliquid debitis.
99,analista3,62053070450,2024-03-14,CASO-00099,Recusandae id voluptates sapiente.,Pendiente,Alta,Ingeniería Social,Web Corporativa,236954,Ipsa illo quasi non.
100,analista1,72026174801,2024-03-07,CASO-00100,Dignissimos magnam architecto voluptate aperiam.,Finalizado,Baja,Transaccional,Correo Electrónico,438167,Voluptas a tempora harum.
101,analista3,17362203227,2024-04-19,CASO-00101,Aut porro dolores cupiditate veritatis omnis.,Finalizado,Baja,Acceso Ilegítimo,Correo Electrónico,79736,Eaque fuga delectus.
102,analista3,83793052996,2024-04-02,CASO-00102,Ad rem itaque.,Pendiente,Alta,Transaccional,Banca Web,360712,Minus quos sint voluptates.
103,analista1,50421841433,2024-04-10,CASO-00103,Ipsa dolores eius.,Finalizado,Baja,Ingeniería Social,Web Corporativa,135482,Iure aliquam cupiditate nemo.
104,analista2,11878791144,2024-04-25,CASO-00104,Animi a quod quidem dicta inventore.,En revisión,Alta,Transaccional,Correo Electrónico,68743,Beatae corporis libero.
105,analista1,18497924527,2024-04-18,CASO-00105,Laboriosam velit aperiam deleniti.,Finalizado,Alta,Transaccional,Banca Web,170651,Vitae earum deserunt.
106,analista2,03245331187,2024-04-19,CASO-00106,Ab nam veniam ab.,Pendiente,Media,Acceso Ilegítimo,Banca Web,469368,Sit occaecati odio illum a.
107,analista1,68986073899,2024-04-12,CASO-00107,Molestias porro hic quis repellendus.,En revisión,Media,Transaccional,Correo Electrónico,390614,Suscipit inventore nobis.
108,analista1,77319799906,2024-04-03,CASO-00108,Aspernatur adipisci similique.,Finalizado,Media,Acceso Ilegítimo,App Móvil,323145,Ea eligendi aliquid nostrum.
109,analista1,51828611583,2024-04-10,CASO-00109,A nostrum placeat consequatur.,Finalizado,Alta,Transaccional,Banca Web,410032,Ea officiis unde.
110,analista2,90415884464,2024-04-05,CASO-00110,Magni perferendis laborum delectus alias.,En revisión,Alta,Acceso Ilegítimo,Web Corporativa,125408,Molestias porro repellendus.
111,analista3,47207439894,2024-04-26,CASO-00111,Odit sapiente magni quaerat aperiam adipisci.,En revisión,Alta,Transaccional,Web Corporativa,335047,Velit blanditiis deserunt.
112,analista3,72373285561,2024-04-25,CASO-00112,Quibusdam voluptate aperiam.,Finalizado,Alta,Transaccional,App Móvil,384130,Vitae cum repudiandae.
113,analista3,72512780867,2024-04-16,CASO-00113,Laudantium eum quasi animi tenetur.,Finalizado,Media,Ingeniería Social,Banca Web,364111,Non natus impedit molestias.
114,analista3,63475862395,2024-04-21,CASO-00114,Praesentium animi incidunt culpa fugit corporis.,En revisión,Alta,Acceso Ilegítimo,Web Corporativa,304720,Architecto perferendis quasi.
115,analista3,29327075410,2024-04-22,CASO-00115,Dolore temporibus dolorum architecto blanditiis repudiandae.,En revisión,Media,Ingeniería Social,Banca Web,387365,Perspiciatis quo tempora.
116,analista1,45608470732,2024-04-08,CASO-00116,Consectetur magni atque nulla.,Finalizado,Alta,Transaccional,App Móvil,294058,Molestias vero quas ipsum.
117,analista1,92485218105,2024-04-05,CASO-00117,Id repellat non voluptatem.,Pendiente,Media,Transaccional,App Móvil,109664,Corporis dolorem a corrupti.
118,analista1,67271173246,2024-04-06,CASO-00118,Iusto distinctio perferendis minima.,Pendiente,Media,Dispositivo Nuevo,Banca Web,159842,Eaque repellat possimus.
119,analista3,86772658268,2024-04-11,CASO-00119,Exercitationem expedita praesentium saepe natus.,En revisión,Media,Transaccional,Correo Electrónico,200665,Rem voluptas voluptatem.
120,analista2,89922950754,2024-04-09,CASO-00120,Illo expedita voluptate.,Finalizado,Baja,Acceso Ilegítimo,Web Corporativa,159712,Nulla minus error omnis.
121,analista1,68407184619,2024-04-07,CASO-00121,Itaque aspernatur laudantium consequuntur.,En revisión,Media,Dispositivo Nuevo,Web Corporativa,126337,Iusto dolor impedit cum.
122,analista1,72486781079,2024-04-16,CASO-00122,Odit officia eaque.,En revisión,Media,Ingeniería Social,Correo Electrónico,390275,Placeat nisi natus.
123,analista3,15984324968,2024-04-10,CASO-00123,Minus excepturi quaerat neque fugit.,Pendiente,Alta,Acceso Ilegítimo,Correo Electrónico,209471,Cum quis optio officia.
124,analista3,54716969541,2024-04-01,CASO-00124,Nostrum commodi placeat sapiente itaque ex.,Pendiente,Alta,Transaccional,Web Corporativa,320575,Vel illo quod esse debitis.
125,analista3,20553271854,2024-04-06,CASO-00125,Temporibus autem nam nobis voluptate incidunt.,En revisión,Media,Dispositivo Nuevo,App Móvil,349371,Et veniam vitae iste id.
126,analista3,51052879357,2024-05-06,CASO-00126,Qui saepe id.,Finalizado,Baja,Dispositivo Nuevo,App Móvil,213978,Illo error nam in.
127,analista2,36018024221,2024-05-24,CASO-00127,Ipsam expedita placeat placeat.,En revisión,Baja,Acceso Ilegítimo,Correo Electrónico,259025,Hic quisquam tempora rem.
128,analista2,51107146064,2024-05-10,CASO-00128,Necessitatibus quia voluptas iste illum.,Pendiente,Alta,Acceso Ilegítimo,Web Corporativa,435178,Officia iusto deleniti nam.
129,analista1,47511381308,2024-05-15,CASO-00129,Incidunt quos temporibus aspernatur fugiat asperiores.,En revisión,Alta,Acceso Ilegítimo,Web Corporativa,284423,In ullam nam.
130,analista1,67295478633,2024-05-24,CASO-00130,Esse esse ratione fugiat porro at.,Finalizado,Media,Dispositivo Nuevo,App Móvil,388419,Molestias ut odit veniam.
131,analista1,10183420915,2024-05-24,CASO-00131,Velit pariatur maiores quos quasi sed.,Pendiente,Alta,Acceso Ilegítimo,Banca Web,68203,Est ratione libero sunt.
132,analista1,47438262535,2024-05-10,CASO-00132,Aliquid aperiam vitae voluptatem.,Finalizado,Baja,Dispositivo Nuevo,Correo Electrónico,199969,Architecto nulla non nemo.
133,analista3,73274626407,2024-05-24,CASO-00133,Itaque illo unde.,Pendiente,Alta,Ingeniería Social,Correo Electrónico,102130,Pariatur aliquam quos a.
134,analista1,52880758365,2024-05-16,CASO-00134,Molestias suscipit assumenda est.,Pendiente,Media,Acceso Ilegítimo,App Móvil,440102,Natus in rem officia.
135,analista2,04223628681,2024-05-15,CASO-00135,Similique sapiente eaque voluptatem.,En revisión,Media,Acceso Ilegítimo,Banca Web,364075,Modi animi id.
136,analista3,40780796832,2024-05-25,CASO-00136,Impedit natus nobis nobis.,Pendiente,Alta,Dispositivo Nuevo,Web Corporativa,417741,Vero minus ex veritatis.
137,analista3,14871455604,2024-05-10,CASO-00137,Porro sequi hic.,Finalizado,Baja,Transaccional,Banca Web,151565,Iure unde aut fuga.
138,analista1,42939073159,2024-05-22,CASO-00138,Atque fugit beatae dolor voluptatum.,Pendiente,Media,Transaccional,Correo Electrónico,100727,Sequi fuga repellendus.
139,analista1,64489251567,2024-05-26,CASO-00139,Beatae minus sapiente veniam laboriosam.,En revisión,Baja,Dispositivo Nuevo,App Móvil,404153,Rerum ad corrupti veniam.
140,analista2,36456980091,2024-05-23,CASO-00140,Sapiente omnis exercitationem.,En revisión,Baja,Ingeniería Social,Banca Web,406523,Quis maxime quos fugit.
141,analista1,16842780307,2024-05-12,CASO-00141,Deleniti facere vitae reprehenderit saepe.,En revisión,Alta,Acceso Ilegítimo,Web Corporativa,407999,Qui a quisquam nobis dolorum.
142,analista3,18119497206,2024-05-26,CASO-00142,Atque voluptates quam.,En revisión,Media,Transaccional,Banca Web,369318,Aut fuga soluta.
143,analista2,31918481926,2024-05-08,CASO-00143,Aperiam quisquam sit.,En revisión,Media,Dispositivo Nuevo,Banca Web,76221,Animi quod consequatur eius.
144,analista3,48153082458,2024-05-23,CASO-00144,Dolores sed omnis illo exercitationem.,Finalizado,Media,Acceso Ilegítimo,Web Corporativa,455889,Dicta modi rerum distinctio.
145,analista2,69987675919,2024-05-04,CASO-00145,Et libero maiores inventore atque quae.,Pendiente,Baja,Acceso Ilegítimo,Banca Web,246553,Explicabo ea rerum.
146,analista3,83965924987,2024-05-02,CASO-00146,Labore eligendi impedit in.,En revisión,Baja,Acceso Ilegítimo,Web Corporativa,401013,Amet maiores aut a.
147,analista1,97076955301,2024-05-08,CASO-00147,Odio ex fugit.,Pendiente,Alta,Acceso Ilegítimo,App Móvil,157666,Numquam magni amet.
148,analista1,84130713271,2024-05-12,CASO-00148,Soluta optio veniam.,En revisión,Media,Dispositivo Nuevo,Correo Electrónico,261237,Modi itaque recusandae.
149,analista1,73121441040,2024-05-25,CASO-00149,Aspernatur blanditiis dignissimos harum modi.,Finalizado,Alta,Dispositivo Nuevo,Web Corporativa,148612,Nemo eos dolore quasi.
150,analista3,09839086956,2024-05-21,CASO-00150,Aliquid incidunt illum animi molestiae quasi.,Finalizado,Media,Ingeniería Social,Web Corporativa,321006,Saepe nihil cumque minima.
